@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
212,'2019/02/24 18:19:49:406',2,421.399994,130.699997,0,0,-22,0,0,0,2
213,'2019/02/24 18:19:49:457',2,420.899994,132.199997,0,0.1,-31,0,0,0,2
214,'2019/02/24 18:19:49:507',2,338.399994,131.699997,0,0.5,22,0,0,0,2
215,'2019/02/24 18:19:49:558',2,347,131.600006,0.5,0.4,-32,0,0,0,2
216,'2019/02/24 18:19:49:609',2,310.100006,132.399994,0,0,5,0,0,0,2
217,'2019/02/24 18:19:49:660',2,328.700012,132.600006,0.5,0,51,0,0,0,2
218,'2019/02/24 18:19:49:712',2,358.200012,128.699997,0,0.5,-4,0,0,0,2
219,'2019/02/24 18:19:49:763',2,404.700012,129,0,0.3,-8,0,0,0,2
220,'2019/02/24 18:19:49:815',2,442.5,129.399994,0.1,1,-30,0,0,0,2
221,'2019/02/24 18:19:49:866',2,372.600006,127.5,0.4,0.1,-9,0,0,0,2
222,'2019/02/24 18:19:49:917',2,363.100006,127.900002,0.8,0,6,0,0,0,2
223,'2019/02/24 18:19:49:968',2,402.700012,129.600006,0,0,-34,0,0,0,2
224,'2019/02/24 18:19:50:018',2,376.600006,132.800003,0,0.6,-25,0,0,0,2
225,'2019/02/24 18:19:50:069',2,345.600006,130.800003,0.1,0,1,0,0,0,2
226,'2019/02/24 18:19:50:120',2,354.399994,128.399994,0.9,0,9,0,0,0,2
227,'2019/02/24 18:19:50:171',2,342.600006,129.600006,0,0.1,-14,0,0,0,2
228,'2019/02/24 18:19:50:221',2,360.399994,130.100006,0,1.5,-8,0,0,0,2
229,'2019/02/24 18:19:50:272',2,367.600006,129.600006,0.5,1.2,-40,0,0,0,2
230,'2019/02/24 18:19:50:323',2,319.399994,129,0.5,0.3,14,0,0,0,2
231,'2019/02/24 18:19:50:374',2,334.5,129.300003,0.5,0,27,0,0,0,2
232,'2019/02/24 18:19:50:426',2,367.200012,128.600006,0,0,5,0,0,0,2
233,'2019/02/24 18:19:50:478',2,413.5,126.800003,0,0.5,7,0,0,0,2
234,'2019/02/24 18:19:50:528',2,476.799988,127,0.5,0.6,-17,0,0,0,2
235,'2019/02/24 18:19:50:580',2,417.899994,126.599998,0.1,0,-41,0,0,0,2
236,'2019/02/24 18:19:50:631',2,338.100006,130.399994,0,1,-15,0,0,0,2
237,'2019/02/24 18:19:50:683',2,339.200012,132.600006,0,1,20,0,0,0,2
238,'2019/02/24 18:19:50:734',2,357.600006,131.399994,0.5,0.6,-5,0,0,0,2
239,'2019/02/24 18:19:50:784',2,337.299988,130.5,0.1,0.6,-22,0,0,0,2
240,'2019/02/24 18:19:50:835',2,368.5,133.800003,0.5,1.2,8,0,0,0,2
241,'2019/02/24 18:19:50:886',2,382.299988,133.899994,0,0.5,15,0,0,0,2
242,'2019/02/24 18:19:50:937',2,409.399994,130.600006,0.5,1.2,-10,0,0,0,2
243,'2019/02/24 18:19:50:987',2,374.100006,130.5,0.5,0,-11,0,0,0,2
244,'2019/02/24 18:19:51:039',2,325.5,129.199997,0.1,0,-35,0,0,0,2
