@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric

@data
8718,'2019/04/09 19:08:38:873',11,121.599998,74.699997,941.5,933.099976,0,5.049,0,1,0,72.39,100,15
8719,'2019/04/09 19:08:38:873',11,121.5,74.300003,941.5,933,0,5.049,0,1,0,72.39,100,15
8720,'2019/04/09 19:08:38:873',11,121.199997,73.900002,941.5,933,0,5.049,0,1,0,72.39,100,15
8721,'2019/04/09 19:08:38:873',11,120.900002,73.199997,941.599976,933,0,5.049,0,1,0,72.39,100,15
8722,'2019/04/09 19:08:38:873',11,120.599998,72.800003,941.700012,933,0,5.049,0,1,0,72.39,100,15
8723,'2019/04/09 19:08:38:873',11,120.300003,72.400002,941.799988,933,0,5.049,0,1,0,72.39,100,15
8724,'2019/04/09 19:08:38:873',11,119.699997,72,941.900024,933,0,5.049,0,1,0,72.39,100,15
8725,'2019/04/09 19:08:38:902',11,119.199997,71.599998,942,933.099976,0,5.049,0,1,0,72.39,100,15
8726,'2019/04/09 19:08:38:902',11,118.699997,70.599998,942,933.200012,0,5.049,0,1,0,72.39,100,15
8727,'2019/04/09 19:08:38:902',11,118.199997,69.699997,942,933.299988,0,5.049,0,1,0,72.39,100,15
8728,'2019/04/09 19:08:38:902',11,117.900002,68.800003,942,933.400024,0,5.049,0,1,0,72.39,100,15
8729,'2019/04/09 19:08:38:917',11,117.599998,67.900002,942,933.400024,0,5.049,0,1,0,72.39,100,15
8730,'2019/04/09 19:08:38:917',11,117.5,66.800003,942,933.400024,0,5.049,0,1,0,72.39,100,15
8731,'2019/04/09 19:08:38:917',11,117.400002,66,942,933.400024,0,5.049,0,1,0,72.39,100,15
8732,'2019/04/09 19:08:38:917',11,117.300003,65.199997,942,933.400024,0,5.049,0,1,0,72.39,100,15
8733,'2019/04/09 19:08:38:917',11,116,64.400002,942,933.400024,0,5.049,0,1,0,72.39,100,15
8734,'2019/04/09 19:08:38:930',11,115,63.599998,942,933.400024,0.1,5.049,0,1,0,72.39,100,15
8735,'2019/04/09 19:08:38:930',11,114,62.799999,941.900024,933.299988,0.2,5.049,0,1,0,72.39,100,15
8736,'2019/04/09 19:08:38:930',11,113,62.299999,941.799988,933.200012,0.3,5.049,0,1,0,72.39,100,15
8737,'2019/04/09 19:08:38:930',11,112,61.799999,941.700012,933.099976,0.4,5.049,0,1,0,72.39,100,15
8738,'2019/04/09 19:08:38:930',11,110.800003,61.299999,941.599976,933,0.5,5.049,0,1,0,72.39,100,15
8739,'2019/04/09 19:08:38:930',11,108.400002,60.799999,941.5,933,0.6,5.049,0,1,0,72.39,100,15
8740,'2019/04/09 19:08:38:945',11,106,60.5,941.400024,933,0.6,5.049,0,1,0,72.39,100,15
8741,'2019/04/09 19:08:38:945',11,103.599998,60.200001,941.400024,933,0.6,5.049,0,1,0,72.39,100,15
8742,'2019/04/09 19:08:38:945',11,101.199997,59.700001,941.400024,933,0.6,5.049,0,1,0,72.39,100,15
8743,'2019/04/09 19:08:38:945',11,100,59.200001,941.400024,933,0.6,5.049,0,1,0,72.39,100,15
8744,'2019/04/09 19:08:38:945',11,98.800003,58.700001,941.400024,933,0.5,5.049,0,1,0,72.39,100,15
8745,'2019/04/09 19:08:38:945',11,97.5,58.200001,941.5,933,0.4,5.049,0,1,0,72.39,100,15
8746,'2019/04/09 19:08:38:960',11,96.199997,57.5,941.599976,933,0.3,5.049,0,1,0,72.39,100,15
8747,'2019/04/09 19:08:38:960',11,94.900002,56.799999,941.700012,933,0.2,5.049,0,1,0,72.39,100,15
8748,'2019/04/09 19:08:38:960',11,94.300003,56.099998,941.799988,933,0.1,5.049,0,1,0,72.39,100,15
8749,'2019/04/09 19:08:38:976',11,94.900002,55.400002,941.900024,933,0.1,5.049,0,1,0,72.39,100,15
8750,'2019/04/09 19:08:38:976',11,95.5,54.599998,942,933,0.2,5.049,0,1,0,72.39,100,15
8751,'2019/04/09 19:08:38:976',11,96.099998,53.799999,942,933,0.3,5.049,0,1,0,72.39,100,15
8752,'2019/04/09 19:08:38:976',11,96.699997,53.200001,942,933,0.4,5.049,0,1,0,72.39,100,15
8753,'2019/04/09 19:08:38:976',11,97.900002,52.599998,942,933,0.5,5.049,0,1,0,72.39,100,15
8754,'2019/04/09 19:08:38:992',11,99.099998,52,941.900024,933,0.6,5.049,0,1,0,72.39,100,15
8755,'2019/04/09 19:08:38:992',11,100.400002,51.299999,941.799988,933,0.7,5.049,0,1,0,72.39,100,15
8756,'2019/04/09 19:08:38:992',11,101.699997,51.099998,941.700012,933,0.8,5.049,0,1,0,72.39,100,15
8757,'2019/04/09 19:08:38:992',11,103,50.900002,941.599976,933,0.9,5.049,0,1,0,72.39,100,15
8758,'2019/04/09 19:08:38:992',11,103.400002,50.700001,941.5,933,1,5.049,0,1,0,72.39,100,15
8759,'2019/04/09 19:08:39:007',11,103.800003,50.5,941.400024,933,0.9,5.049,0,1,0,72.39,100,15
8760,'2019/04/09 19:08:39:007',11,104.199997,50.400002,941.400024,933,0.8,5.049,0,1,0,72.39,100,15
8761,'2019/04/09 19:08:39:007',11,104.599998,50.200001,941.400024,933,0.7,5.049,0,1,0,72.39,100,15
8762,'2019/04/09 19:08:39:007',11,105,50,941.400024,933,0.6,5.049,0,1,0,72.39,100,15
8763,'2019/04/09 19:08:39:007',11,104.800003,49.799999,941.400024,933,0.5,5.049,0,1,0,72.39,100,15
8764,'2019/04/09 19:08:39:007',11,104.199997,49.599998,941.5,933,0.4,5.049,0,1,0,72.39,100,15
8765,'2019/04/09 19:08:39:007',11,103.599998,49.099998,941.599976,933,0.3,5.049,0,1,0,72.39,100,15
8766,'2019/04/09 19:08:39:007',11,103.199997,48.599998,941.700012,933,0.2,5.049,0,1,0,72.39,100,15
8767,'2019/04/09 19:08:39:036',11,102.800003,48,941.799988,933,0.1,5.049,0,1,0,72.39,100,15
8768,'2019/04/09 19:08:39:036',11,102.599998,47.400002,941.900024,933,0,5.049,0,1,0,72.39,100,15
8769,'2019/04/09 19:08:39:036',11,102.5,46.799999,942,933,0,5.049,0,1,0,72.39,100,15
8770,'2019/04/09 19:08:39:050',11,102.400002,46.200001,942,933,0,5.049,0,1,0,72.39,100,15
8771,'2019/04/09 19:08:39:066',11,102.300003,45.599998,942,933,0,5.049,0,1,0,72.39,100,15
8772,'2019/04/09 19:08:39:066',11,102.199997,45,942,933,0,5.049,0,1,0,72.39,100,15
8773,'2019/04/09 19:08:39:066',11,102.099998,44.400002,942,933,0,5.049,0,1,0,72.39,100,15
8774,'2019/04/09 19:08:39:067',11,102.199997,43.799999,942,933,0,5.049,0,1,0,72.39,100,15
8775,'2019/04/09 19:08:39:080',11,102.300003,43.200001,942,933,0,5.049,0,1,0,72.39,100,15
8776,'2019/04/09 19:08:39:080',11,102.199997,42.599998,942,933,0,5.049,0,1,0,72.39,100,15
8777,'2019/04/09 19:08:39:080',11,102.099998,42.099998,942,933,0,5.049,0,1,0,72.39,100,15
8778,'2019/04/09 19:08:39:080',11,102.400002,41.599998,942,933,0,5.049,0,1,0,72.39,100,15
8779,'2019/04/09 19:08:39:097',11,102.599998,41.099998,942,933,0.1,5.049,0,1,0,72.39,100,15
8780,'2019/04/09 19:08:39:097',11,102.800003,40.599998,942.099976,933,0.2,5.049,0,1,0,72.39,100,15
8781,'2019/04/09 19:08:39:097',11,103,40,942.200012,933,0.3,5.049,0,1,0,72.39,100,15
8782,'2019/04/09 19:08:39:097',11,103.199997,39.400002,942.299988,933,0.4,5.049,0,1,0,72.39,100,15
8783,'2019/04/09 19:08:39:097',11,103.400002,38.799999,942.400024,933,0.5,5.049,0,1,0,72.39,100,15
8784,'2019/04/09 19:08:39:097',11,104.099998,38.200001,942.5,933,0.6,5.049,0,1,0,72.39,100,15
8785,'2019/04/09 19:08:39:111',11,104.800003,38,942.599976,933,0.6,5.049,0,1,0,72.39,100,15
8786,'2019/04/09 19:08:39:111',11,105.5,37.799999,942.599976,933,0.6,5.049,0,1,0,72.39,100,15
8787,'2019/04/09 19:08:39:111',11,106.199997,37.5,942.599976,933,0.6,5.049,0,1,0,72.39,100,15
8788,'2019/04/09 19:08:39:111',11,106.5,37.200001,942.599976,933,0.6,5.049,0,1,0,72.39,100,15
8789,'2019/04/09 19:08:39:111',11,106.800003,36.900002,942.599976,933,0.5,5.049,0,1,0,72.39,100,15
8790,'2019/04/09 19:08:39:111',11,107.300003,36.599998,942.5,933,0.4,5.049,0,1,0,72.39,100,15
8791,'2019/04/09 19:08:39:126',11,107.800003,36.5,942.400024,933,0.3,5.049,0,1,0,72.39,100,15
8792,'2019/04/09 19:08:39:126',11,108.300003,36.400002,942.299988,933,0.2,5.049,0,1,0,72.39,100,15
8793,'2019/04/09 19:08:39:142',11,108.800003,35.900002,942.200012,933,0.1,5.049,0,1,0,72.39,100,15
8794,'2019/04/09 19:08:39:142',11,109,35.400002,942.099976,933,0,5.049,0,1,0,72.39,100,15
8795,'2019/04/09 19:08:39:142',11,109.400002,34.900002,942,933,0,5.049,0,1,0,72.39,100,15
8796,'2019/04/09 19:08:39:156',11,109.800003,34.400002,942.099976,933,0,5.049,0,1,0,72.39,100,15
