@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
2906,'2019/02/24 20:49:35:553',11,294.5,422.100006,0.4,0.5,-5,-2,0,0,1
2907,'2019/02/24 20:49:35:603',11,289.5,420.5,0,0.5,-3,-1,0,-1,1
2908,'2019/02/24 20:49:35:654',11,291,424.399994,0.2,0,-11,-5,-2,0,1
2909,'2019/02/24 20:49:35:705',11,291.399994,422.899994,0.5,0,-10,0,-1,0,1
2910,'2019/02/24 20:49:35:756',11,293,421.200012,1.5,1.4,-12,0,0,-1,1
2911,'2019/02/24 20:49:35:808',11,292.399994,419.600006,0.5,0.6,-14,0,0,0,1
2912,'2019/02/24 20:49:35:860',11,289.5,421.799988,0,0,-13,-10,0,0,1
2913,'2019/02/24 20:49:35:911',11,293,421.700012,0,0.5,-6,-4,0,0,1
2914,'2019/02/24 20:49:35:963',11,294.200012,421.799988,0.5,0,-6,-4,-1,0,1
2915,'2019/02/24 20:49:36:014',11,295.799988,422.700012,0,0.5,-14,-2,0,0,1
2916,'2019/02/24 20:49:36:066',11,289.5,424.799988,0.5,0.4,-11,-3,-1,-1,1
2917,'2019/02/24 20:49:36:118',11,292.200012,421,0,0,-13,-2,0,0,1
2918,'2019/02/24 20:49:36:170',11,300.299988,420.200012,0.5,0.4,-16,-6,0,-1,1
2919,'2019/02/24 20:49:36:221',11,299.700012,421.100006,1.4,0.5,-17,-1,0,-1,1
2920,'2019/02/24 20:49:36:272',11,296.200012,420.399994,0,0.1,-6,-5,0,-1,1
2921,'2019/02/24 20:49:36:323',11,287.5,419.899994,0,1.5,-5,0,0,0,1
2922,'2019/02/24 20:49:36:374',11,287.799988,417.299988,0.2,0.1,-14,-1,-1,-1,1
2923,'2019/02/24 20:49:36:425',11,287,416,0,0,-13,-1,0,0,1
2924,'2019/02/24 20:49:36:476',11,286.700012,417.299988,0.5,0,-11,-11,0,0,1
2925,'2019/02/24 20:49:36:528',11,291.700012,420.700012,0,0.5,-15,-3,0,-1,1
2926,'2019/02/24 20:49:36:579',11,290.899994,423,0.5,0.6,-5,-5,0,0,1
2927,'2019/02/24 20:49:36:631',11,290.600006,420,0,0,-7,-7,0,0,1
2928,'2019/02/24 20:49:36:682',11,288.100006,422.5,0,1.5,-11,-5,0,-3,1
2929,'2019/02/24 20:49:36:733',11,284,422.899994,0,1.5,-12,-5,0,-1,1
2930,'2019/02/24 20:49:36:783',11,285.899994,417.600006,0,0,-12,-2,0,0,1
2931,'2019/02/24 20:49:36:834',11,289.299988,418.399994,0.5,1.2,-16,-4,-1,0,1
2932,'2019/02/24 20:49:36:885',11,291.799988,417.600006,0,0.8,-18,-3,0,0,1
2933,'2019/02/24 20:49:36:937',11,285.600006,417.600006,0,0,-4,-2,0,0,1
2934,'2019/02/24 20:49:36:989',11,288.799988,417.299988,0,2,-1,-8,0,-2,1
2935,'2019/02/24 20:49:37:040',11,288.600006,415.799988,0,0,-11,-4,0,0,1
2936,'2019/02/24 20:49:37:092',11,287,412.600006,0,0.8,-11,-1,0,-3,1
2937,'2019/02/24 20:49:37:144',11,291.799988,417.600006,0,1,-11,-3,0,-2,1
2938,'2019/02/24 20:49:37:195',11,294.100006,416.799988,0,0,-16,-3,0,0,1
2939,'2019/02/24 20:49:37:245',11,291.299988,419.799988,0,2,-17,-2,0,0,1
2940,'2019/02/24 20:49:37:297',11,291.799988,422.600006,0,0.5,-12,-6,0,-1,1
2941,'2019/02/24 20:49:37:349',11,288.200012,415.799988,0.4,0,-8,0,-1,0,1
2942,'2019/02/24 20:49:37:399',11,288,415.5,0.5,0,-3,-5,0,0,1
2943,'2019/02/24 20:49:37:450',11,289.5,413.799988,0.1,0,-12,-4,-1,0,1
2944,'2019/02/24 20:49:37:501',11,286.899994,412.600006,0.5,0.6,-15,-1,-1,0,1
2945,'2019/02/24 20:49:37:552',11,291.5,416.200012,0,0.4,-14,0,0,-2,1
2946,'2019/02/24 20:49:37:603',11,287.5,418.600006,0,0,0,0,0,0,1
2947,'2019/02/24 20:49:37:655',11,285.5,418.5,0.2,0.6,-4,-1,-2,-1,1
2948,'2019/02/24 20:49:37:706',11,280.200012,414,0.5,0.6,0,0,0,0,1
2949,'2019/02/24 20:49:37:757',11,283.5,413.200012,0.5,0.6,-3,0,-1,0,1
2950,'2019/02/24 20:49:37:808',11,284.200012,414.799988,1,0.4,-12,-3,-2,-1,1
2951,'2019/02/24 20:49:37:860',11,287.200012,414.399994,0,0.5,-14,-2,0,0,1
2952,'2019/02/24 20:49:56:168',12,980,422.100006,0,0.8,0,-16,0,0,2
2953,'2019/02/24 20:49:56:219',12,918,420,0,0.6,-124,-13,0,-2,2
2954,'2019/02/24 20:49:56:271',12,833.299988,420,0,1.5,-53,-17,0,-3,2
2955,'2019/02/24 20:49:56:322',12,854,418.5,0,0.5,0,-7,0,0,2
2956,'2019/02/24 20:49:56:373',12,973.599976,417.399994,0.5,0,-13,-6,0,0,2
2957,'2019/02/24 20:49:56:423',12,980.400024,417.399994,0,0.2,-1,-4,0,-2,2
2958,'2019/02/24 20:49:56:474',12,980.5,410.299988,0.6,0,0,-5,-2,0,2
2959,'2019/02/24 20:49:56:526',12,980.400024,411.600006,1.1,0,-1,-17,-2,0,2
2960,'2019/02/24 20:49:56:576',12,980.400024,418.5,0.8,1,-1,-17,0,0,2
2961,'2019/02/24 20:49:56:626',12,971.599976,418.5,0.5,1.2,-94,-14,0,-3,2
2962,'2019/02/24 20:49:56:677',12,961.299988,425.5,0.5,0,-121,-7,-1,0,2
2963,'2019/02/24 20:49:56:728',12,799.599976,422.200012,1,0.6,0,-7,0,0,2
2964,'2019/02/24 20:49:56:780',12,749.099976,417.200012,0.5,0,-75,-7,0,0,2
2965,'2019/02/24 20:49:56:831',12,762.900024,416.200012,0.1,0,-48,-15,-1,0,2
2966,'2019/02/24 20:49:56:883',12,801.599976,411.399994,0.5,0.8,-107,-4,-1,-2,2
2967,'2019/02/24 20:49:56:934',12,857.299988,412.600006,0,0,0,-13,0,0,2
2968,'2019/02/24 20:49:56:985',12,976.400024,416.100006,0,0.8,0,-19,0,-2,2
2969,'2019/02/24 20:49:57:037',12,980.5,414.899994,0.1,0.6,-1,-5,-1,-1,2
2970,'2019/02/24 20:49:57:088',12,974.599976,411,0.1,0,0,-4,-1,0,2
2971,'2019/02/24 20:49:57:140',12,980.900024,413.700012,0,0,-1,-15,0,0,2
2972,'2019/02/24 20:49:57:191',12,980,415.100006,0,2.4,0,-15,0,0,2
2973,'2019/02/24 20:49:57:242',12,929.299988,412.399994,1,0,-115,-16,0,0,2
2974,'2019/02/24 20:49:57:294',12,842.400024,423.799988,1,0.6,-67,-13,0,0,2
2975,'2019/02/24 20:49:57:344',12,798.900024,424.600006,0,0,-65,-8,0,0,2
2976,'2019/02/24 20:49:57:396',12,911.299988,417.100006,0,1,0,-7,0,-2,2
2977,'2019/02/24 20:49:57:447',12,909.599976,415.899994,0,0.2,-59,0,0,-1,2
2978,'2019/02/24 20:49:57:499',12,847.700012,423.200012,0.5,1.6,-60,-2,-1,0,2
2979,'2019/02/24 20:49:57:551',12,916.400024,418.600006,0.5,0,-77,-16,0,0,2
2980,'2019/02/24 20:49:57:602',12,980.599976,410.399994,0.2,0,-1,-6,-1,0,2
2981,'2019/02/24 20:49:57:654',12,980.400024,411.200012,0,0,0,-8,0,0,2
2982,'2019/02/24 20:49:57:704',12,963.5,416.799988,0.6,0,-44,-7,-3,0,2
2983,'2019/02/24 20:49:57:754',12,938.900024,414.5,0,1.5,-83,0,0,0,2
2984,'2019/02/24 20:49:57:806',12,959.099976,412.600006,0,0,0,-9,0,0,2
2985,'2019/02/24 20:49:57:857',12,980.5,416.200012,1,0,-1,-8,0,0,2
2986,'2019/02/24 20:49:57:907',12,980.200012,414,0,0.5,-1,-12,0,0,2
2987,'2019/02/24 20:49:57:958',12,980.099976,413.600006,0.4,0,-1,-9,-1,0,2
2988,'2019/02/24 20:49:58:010',12,980.799988,415.399994,0.6,0,0,-11,-1,0,2
2989,'2019/02/24 20:49:58:062',12,980,415,0.4,0.6,0,-2,0,-1,2
2990,'2019/02/24 20:49:58:112',12,980.099976,410.399994,0.5,0.6,0,-4,-1,0,2
2991,'2019/02/24 20:49:58:164',12,981,414.899994,0.4,0.4,0,-8,0,-1,2
