@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
160,'2019/04/11 20:43:40:773',1,29.200001,295.600006,0,368.899994,962.799988,0,?,?,?,?,?,?,?,?,?
161,'2019/04/11 20:43:40:773',1,28.799999,290.200012,0,369.100006,962.900024,0,?,?,?,?,?,?,?,?,?
162,'2019/04/11 20:43:40:773',1,28.700001,284.799988,0,369.299988,963,0,?,?,?,?,?,?,?,?,?
163,'2019/04/11 20:43:40:785',1,28.6,279.399994,0,369.5,963.099976,0,?,?,?,?,?,?,?,?,?
164,'2019/04/11 20:43:40:785',1,28.5,274,0,369.600006,963.200012,0,?,?,?,?,?,?,?,?,?
165,'2019/04/11 20:43:40:786',1,28.4,268.200012,0,369.700012,963.299988,0,?,?,?,?,?,?,?,?,?
166,'2019/04/11 20:43:40:786',1,28.299999,262.399994,0,369.799988,963.400024,0,?,?,?,?,?,?,?,?,?
167,'2019/04/11 20:43:40:786',1,28.200001,256.600006,0,369.899994,963.5,0,?,?,?,?,?,?,?,?,?
168,'2019/04/11 20:43:40:786',1,30.6,250.800003,0,370,963.599976,0,?,?,?,?,?,?,?,?,?
169,'2019/04/11 20:43:40:801',1,33,242.399994,0,369.799988,963.700012,0,?,?,?,?,?,?,?,?,?
170,'2019/04/11 20:43:40:801',1,35.400002,235.600006,0,369.600006,963.799988,0,?,?,?,?,?,?,?,?,?
171,'2019/04/11 20:43:40:802',1,37.799999,228.800003,0,369.399994,963.900024,0,?,?,?,?,?,?,?,?,?
172,'2019/04/11 20:43:40:802',1,41.700001,222,0,369.200012,964,0,?,?,?,?,?,?,?,?,?
173,'2019/04/11 20:43:40:815',1,45.599998,215.199997,0,369.100006,964,0,?,?,?,?,?,?,?,?,?
174,'2019/04/11 20:43:40:815',1,49.5,207.699997,0,369.200012,964,0,?,?,?,?,?,?,?,?,?
175,'2019/04/11 20:43:40:815',1,53.400002,204.399994,0,369.299988,964,0,?,?,?,?,?,?,?,?,?
176,'2019/04/11 20:43:40:816',1,57.299999,201.100006,0,369.399994,964,0,?,?,?,?,?,?,?,?,?
177,'2019/04/11 20:43:40:816',1,60.700001,197.800003,0,369.5,964,0,?,?,?,?,?,?,?,?,?
178,'2019/04/11 20:43:40:829',1,61.900002,194.5,0,369.600006,964.099976,0,?,?,?,?,?,?,?,?,?
179,'2019/04/11 20:43:40:829',1,63.099998,193.800003,0,369.799988,964.200012,0,?,?,?,?,?,?,?,?,?
180,'2019/04/11 20:43:40:830',1,64.300003,195.600006,0,370,964.299988,0,?,?,?,?,?,?,?,?,?
181,'2019/04/11 20:43:40:830',1,65.5,197.399994,0,370.200012,964.400024,0,?,?,?,?,?,?,?,?,?
182,'2019/04/11 20:43:40:830',1,65,199.199997,0,370.399994,964.5,0,?,?,?,?,?,?,?,?,?
183,'2019/04/11 20:43:40:830',1,64.800003,201,0,370.5,964.599976,0,?,?,?,?,?,?,?,?,?
184,'2019/04/11 20:43:40:844',1,64.599998,202.399994,0,370.600006,964.700012,0,?,?,?,?,?,?,?,?,?
185,'2019/04/11 20:43:40:845',1,64.400002,203.800003,0,370.700012,964.799988,0,?,?,?,?,?,?,?,?,?
186,'2019/04/11 20:43:40:845',1,64.199997,205.199997,0,370.799988,964.900024,0,?,?,?,?,?,?,?,?,?
187,'2019/04/11 20:43:40:860',1,64.5,206.600006,0,370.899994,964.900024,0,?,?,?,?,?,?,?,?,?
188,'2019/04/11 20:43:40:860',1,64.800003,208,0,370.799988,964.799988,0,?,?,?,?,?,?,?,?,?
189,'2019/04/11 20:43:40:860',1,65.099998,206.300003,0,370.600006,964.700012,0,?,?,?,?,?,?,?,?,?
190,'2019/04/11 20:43:40:860',1,65.400002,202.100006,0,370.399994,964.599976,0,?,?,?,?,?,?,?,?,?
191,'2019/04/11 20:43:40:860',1,65.699997,197.899994,0,370.200012,964.5,0,?,?,?,?,?,?,?,?,?
192,'2019/04/11 20:43:40:860',1,65.900002,193.699997,0,370,964.400024,0,?,?,?,?,?,?,?,?,?
193,'2019/04/11 20:43:40:877',1,65.800003,189.5,0,369.799988,964.400024,0,?,?,?,?,?,?,?,?,?
194,'2019/04/11 20:43:40:877',1,65.699997,186.399994,0,368.899994,964.400024,0,?,?,?,?,?,?,?,?,?
195,'2019/04/11 20:43:40:877',1,65.599998,180.699997,0,368,964.400024,0,?,?,?,?,?,?,?,?,?
196,'2019/04/11 20:43:40:878',1,65.5,175,0,367.100006,964.400024,0,?,?,?,?,?,?,?,?,?
197,'2019/04/11 20:43:40:878',1,65.5,169.300003,0,366.200012,964.5,0,?,?,?,?,?,?,?,?,?
198,'2019/04/11 20:43:40:878',1,65.5,163.600006,0,365.5,964.700012,0,?,?,?,?,?,?,?,?,?
199,'2019/04/11 20:43:40:878',1,65.5,160.399994,0,364.799988,964.900024,0,?,?,?,?,?,?,?,?,?
200,'2019/04/11 20:43:40:878',1,65.5,157.199997,0,364.100006,965.099976,0,?,?,?,?,?,?,?,?,?
201,'2019/04/11 20:43:40:878',1,65.5,154,0,363.399994,965.299988,0,?,?,?,?,?,?,?,?,?
202,'2019/04/11 20:43:40:878',1,64.699997,150.800003,0,362.700012,965.5,0,?,?,?,?,?,?,?,?,?
203,'2019/04/11 20:43:40:905',1,63.900002,150.699997,0,362,965.599976,0,?,?,?,?,?,?,?,?,?
204,'2019/04/11 20:43:40:905',1,63.099998,150.600006,0,362,965.700012,0,?,?,?,?,?,?,?,?,?
205,'2019/04/11 20:43:40:905',1,61.5,153.100006,0,362,965.799988,0,?,?,?,?,?,?,?,?,?
206,'2019/04/11 20:43:40:920',1,59.900002,165,0,362,965.900024,0,?,?,?,?,?,?,?,?,?
207,'2019/04/11 20:43:40:920',1,58.200001,176.899994,0,362,966,0,?,?,?,?,?,?,?,?,?
